deviceVendor,deviceProduct,deviceVersion,signatureId,severity,name,start,rt,msg,shost,smac,dhost,dmac,suser,suid,externalId,cs1Label,cs1
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:05:53.535000Z,1664161553.535,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,mheavin-mac,00:AA:02:ef:ac:04,w2012r2006-srv,A0:A4:C5:ba:48:67,mheavin-mac$,547FDD9,4624,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4624,3,An account was successfully logged on.,2022-09-26T03:05:54.535000Z,1664161554.535,This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service - or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created - i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.,mheavin-mac,00:AA:02:ef:ac:04,w2012r2006-srv,A0:A4:C5:ba:48:67,MHeavin,547FDD9,4624,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4866,5,A trusted forest information entry was removed.,2022-09-26T03:06:35.620000Z,1664161595.62,A trusted forest information entry was removed.,dginnifer-mac,34:E6:AD:13:3d:4a,w2014r2010-srv,D8:3B:BF:0d:02:5a,DGinnifer,,4866,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:5890,3,An object was added to the COM+ Catalog.,2022-09-26T03:07:17.705000Z,1664161637.705,An object was added to the COM+ Catalog.,WS-WCRRV5AR1C3H,00:E0:4C:a5:33:75,mafton06-pc,AC:67:5D:67:fd:00,MAfton,,5890,payload,
Microsoft,Windows 7,1.0,Microsoft-Windows-Security-Auditing:5168,3,Spn check for SMB/SMB2 failed.,2022-09-26T03:07:59.790000Z,1664161679.79,SPN check for SMB/SMB2 fails.,AIX-K8F9MPWL,00:E0:4C:f3:ab:f4,uaquanis-pc,3C:F8:62:45:73:66,UAquanis,,5168,payload,
Microsoft,Windows Server 2012,1.0,Microsoft-Windows-Security-Auditing:5147,3,A more restrictive Windows Filtering Platform filter has blocked a packet.,2022-09-26T03:08:41.875000Z,1664161721.875,A more restrictive Windows Filtering Platform filter has blocked a packet.,RHEL-R7E4EIPL2C,AC:67:5D:c4:80:97,w2019r2009-srv,00:E0:4C:62:65:28,JAguilard,,5147,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:4782,3,The password hash an account was accessed.,2022-09-26T03:09:23.960000Z,1664161763.96,The password hash an account was accessed.,zsheldon04-osx,00:07:E9:04:02:59,w2016r2002-srv,68:17:29:72:d6:0e,ZSheldon,,4782,payload,
Microsoft,Windows Server 2008,1.0,Microsoft-Windows-Security-Auditing:4978,5,During Extended Mode negotiation - IPsec received an invalid negotiation packet. If this problem persists - it could indicate a network issue or an attempt to modify or replay this negotiation.,2022-09-26T03:10:06.045000Z,1664161806.045,During Extended Mode negotiation - IPsec received an invalid negotiation packet. If this problem persists - it could indicate a network issue or an attempt to modify or replay this negotiation.,RHEL-PQ6J73RJHD,10:4A:7D:72:93:25,hyousif-pc,00:E0:4C:c4:52:3b,HYousif,,4978,payload,
Microsoft,Windows 10,1.0,Microsoft-Windows-Security-Auditing:4798,3,A user's local group membership was enumerated.,2022-09-26T03:10:48.130000Z,1664161848.13,A user's local group membership was enumerated.,WS-ILNQWGGE4UG3,00:1B:21:b6:5b:5e,djooseppi-pc,00:E0:4C:f5:05:bc,DJooseppi,,4798,payload,
Microsoft,Windows Vista,1.0,Microsoft-Windows-Security-Auditing:5890,3,An object was added to the COM+ Catalog.,2022-09-26T03:11:30.215000Z,1664161890.215,An object was added to the COM+ Catalog.,RHEL-WUD1RO0JFJV,E4:02:9B:84:0f:b1,dshaunt-pc,34:CF:F6:20:bf:9a,DShaunt,,5890,payload,
